
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (2160 ELS. CTES.)   


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= 2160
  NÚMERO DE ELEMENTOS DE CONTORNO=  900
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= 2162
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
     282      0.6666700D+00     -0.3000000D+01      0.0000000D+00
     283      0.1000000D+01     -0.3000000D+01      0.0000000D+00
     284      0.1333300D+01     -0.3000000D+01      0.0000000D+00
     285      0.1666700D+01     -0.3000000D+01      0.0000000D+00
     286      0.2000000D+01     -0.3000000D+01      0.0000000D+00
     287      0.2333300D+01     -0.3000000D+01      0.0000000D+00
     288      0.2666700D+01     -0.3000000D+01      0.0000000D+00
     289      0.3000000D+01     -0.3000000D+01      0.0000000D+00
     290      0.3333300D+01     -0.3000000D+01      0.0000000D+00
     291      0.3666700D+01     -0.3000000D+01      0.0000000D+00
     292      0.4000000D+01     -0.3000000D+01      0.0000000D+00
     293      0.4333300D+01     -0.3000000D+01      0.0000000D+00
     294      0.4666700D+01     -0.3000000D+01      0.0000000D+00
     295     -0.4666700D+01     -0.2666700D+01      0.0000000D+00
     296     -0.4333300D+01     -0.2666700D+01      0.0000000D+00
     297     -0.4000000D+01     -0.2666700D+01      0.0000000D+00
     298     -0.3666700D+01     -0.2666700D+01      0.0000000D+00
     299     -0.3333300D+01     -0.2666700D+01      0.0000000D+00
     300     -0.3000000D+01     -0.2666700D+01      0.0000000D+00
     301     -0.2666700D+01     -0.2666700D+01      0.0000000D+00
     302     -0.2333300D+01     -0.2666700D+01      0.0000000D+00
     303     -0.2000000D+01     -0.2666700D+01      0.0000000D+00
     304     -0.1666700D+01     -0.2666700D+01      0.0000000D+00
     305     -0.1333300D+01     -0.2666700D+01      0.0000000D+00
     306     -0.1000000D+01     -0.2666700D+01      0.0000000D+00
     307     -0.6666700D+00     -0.2666700D+01      0.0000000D+00
     308     -0.3333300D+00     -0.2666700D+01      0.0000000D+00
     309      0.4440900D-15     -0.2666700D+01      0.0000000D+00
     310      0.3333300D+00     -0.2666700D+01      0.0000000D+00
     311      0.6666700D+00     -0.2666700D+01      0.0000000D+00
     312      0.1000000D+01     -0.2666700D+01      0.0000000D+00
     313      0.1333300D+01     -0.2666700D+01      0.0000000D+00
     314      0.1666700D+01     -0.2666700D+01      0.0000000D+00
     315      0.2000000D+01     -0.2666700D+01      0.0000000D+00
     316      0.2333300D+01     -0.2666700D+01      0.0000000D+00
     317      0.2666700D+01     -0.2666700D+01      0.0000000D+00
     318      0.3000000D+01     -0.2666700D+01      0.0000000D+00
