
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (14400 ELS. CTES.)  


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= ****
  NÚMERO DE ELEMENTOS DE CONTORNO= 6400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= ****
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
     270      0.1100000D+02     -0.4000000D+02      0.0000000D+00
     271      0.1000000D+02     -0.4000000D+02      0.0000000D+00
     272      0.9000000D+01     -0.4000000D+02      0.0000000D+00
     273      0.8000000D+01     -0.4000000D+02      0.0000000D+00
     274      0.7000000D+01     -0.4000000D+02      0.0000000D+00
     275      0.6000000D+01     -0.4000000D+02      0.0000000D+00
     276      0.5000000D+01     -0.4000000D+02      0.0000000D+00
     277      0.4000000D+01     -0.4000000D+02      0.0000000D+00
     278      0.3000000D+01     -0.4000000D+02      0.0000000D+00
     279      0.2000000D+01     -0.4000000D+02      0.0000000D+00
     280      0.1000000D+01     -0.4000000D+02      0.0000000D+00
     281     -0.1421100D-13     -0.4000000D+02      0.0000000D+00
     282     -0.1000000D+01     -0.4000000D+02      0.0000000D+00
     283     -0.2000000D+01     -0.4000000D+02      0.0000000D+00
     284     -0.3000000D+01     -0.4000000D+02      0.0000000D+00
     285     -0.4000000D+01     -0.4000000D+02      0.0000000D+00
     286     -0.5000000D+01     -0.4000000D+02      0.0000000D+00
     287     -0.6000000D+01     -0.4000000D+02      0.0000000D+00
